node,stake
626,97290
627,97285
628,97282
629,97281
630,97278
631,97277
632,97275
633,97275
634,97269
635,97268
636,97267
637,97267
638,97257
639,97254
640,97251
641,97250
642,97244
643,97241
644,97235
645,97235
646,97235
647,97233
648,97225
649,97220
650,97220
651,97220
652,97218
653,97195
654,97193
655,97175
656,97175
657,97153
658,97149
659,97144
660,97141
661,97131
662,97108
663,97093
664,97086
665,97059
666,97047
667,97037
668,97037
669,97020
670,96996
671,96993
672,96976
673,96976
674,96973
675,96965
676,96964
677,96951
678,96945
679,96938
680,96933
681,96931
682,96926
683,96925
684,96924
685,96922
686,96920
687,96918
688,96910
689,96903
690,96903
691,96899
692,96897
693,96890
694,96884
695,96884
696,96883
697,96882
698,96878
699,96877
700,96875
701,96874
702,96872
703,96869
704,96868
705,96868
706,96867
707,96866
708,96865
709,96860
710,96860
711,96859
712,96859
713,96858
714,96857
715,96854
716,96850
717,96849
718,96849
719,96849
720,96849
721,96848
722,96848
723,96848
724,96845
725,96844
726,96840
727,96836
728,96835
729,96835
730,96834
731,96834
732,96834
733,96834
734,96833
735,96830
736,96830
737,96830
738,96830
739,96829
740,96829
741,96829
742,96829
743,96829
744,96829
745,96828
746,96828
747,96828
748,96828
749,96828
750,96828
751,96827
752,96827
753,96827
754,96826
755,96823
756,96823
757,96823
758,96821
759,96816
760,96815
761,96814
762,96814
763,96812
764,96811
765,96809
766,96808
767,96808
768,96806
769,96806
770,96806
771,96804
772,96804
773,96803
774,96802
775,96802
776,96802
777,96798
778,96797
779,96796
780,96795
781,96795
782,96794
783,96794
784,96794
785,96793
786,96791
787,96789
788,96787
789,96786
790,96786
791,96785
792,96784
793,96784
794,96782
795,96781
796,96778
797,96777
798,96776
799,96773
800,96773
801,96773
802,96772
803,96772
804,96771
805,96771
806,96770
807,96769
808,96768
809,96768
810,96768
811,96767
812,96767
813,96767
814,96767
815,96767
816,96767
817,96767
818,96766
819,96766
820,96766
821,96766
822,96766
823,96764
824,96763
825,96762
826,96759
827,96758
828,96758
829,96756
830,96753
831,96750
832,96748
833,96748
834,96747
835,96746
836,96746
837,96745
838,96745
839,96745
840,96743
841,96733
842,96732
843,96730
844,96730
845,96729
846,96728
847,96725
848,96724
849,96723
850,96713
851,96713
852,96713
853,96712
854,96710
855,96709
856,96709
857,96709
858,96709
859,96709
860,96708
861,96701
862,96699
863,96696
864,96691
865,96690
866,96687
867,96687
868,96687
869,96687
870,96686
871,96686
872,96685
873,96685
874,96685
875,96685
876,96685
877,96685
878,96685
879,96685
880,96684
881,96684
882,96683
883,96682
884,96682
885,96678
886,96677
887,96657
888,96641
889,96639
890,96607
891,96580
892,96562
893,96518
894,96478
895,96437
896,96433
897,96413
898,96363
899,96351
900,96348
901,96342
902,96342
903,96339
904,96336
905,96329
906,96314
907,96312
908,96310
909,96299
910,96298
911,96297
912,96296
913,96295
914,96294
915,96294
916,96292
917,96288
918,96285
919,96280
920,96264
921,96259
922,96258
923,96257
924,96254
925,96252
926,96251
927,96251
928,96251
929,96248
930,96239
931,96234
932,96232
933,96232
934,96232
935,96231
936,96231
937,96229
938,96219
939,96219
940,96218
941,96215
942,96215
943,96213
944,96211
945,96211
946,96210
947,96204
948,96195
949,96194
950,96191
951,96190
952,96173
953,96164
954,96153
955,96151
956,96150
957,96150
958,96150
959,96150
960,96150
961,96150
962,96149
963,96149
964,96149
965,96148
966,96146
967,96141
968,96123
969,96116
970,96113
971,96076
972,96028
973,96016
974,96015
975,95991
976,95964
977,95909
978,95894
979,95880
980,95824
981,95796
982,95687
983,95648
984,95627
985,95568
986,95566
987,95450
988,95375
989,95325
990,95044
991,94923
992,94840
993,94815
994,94809
995,94802
996,94795
997,94474
998,94468
999,94426
1000,94395
1001,94258
1002,94165
1003,94163
1004,93762
1005,93591
1006,93352
1007,93349
1008,93263
1009,93121
1010,93048
1011,93037
1012,93034
1013,92928
1014,92900
1015,92895
1016,92878
1017,92874
1018,92868
1019,92808
1020,92788
1021,92729
1022,92526
1023,92522
1024,92465
1025,92456
1026,92439
1027,92435
1028,92362
1029,92360
1030,92347
1031,92345
1032,92334
1033,92263
1034,92258
1035,92221
1036,92198
1037,92115
1038,92055
1039,92026
1040,91970
1041,91909
1042,91892
1043,91757
1044,91732
1045,91682
1046,91627
1047,91579
1048,91577
1049,91439
1050,91403
1051,91373
1052,91041
1053,90983
1054,90963
