node,stake
569,107124
570,161419
571,1302028
572,157015
573,156229
574,169634
575,221151
576,162904
577,170129
578,175006
579,159885
580,164624
581,148855
582,144977
583,147251
584,172598
585,142592
586,146031
587,156748
588,219699
589,163536
590,21608
591,195419
592,148786
593,223396
594,32293
595,163085
596,169389
597,124217
598,297149
599,148580
600,181176
601,139381
602,150664
603,137898
604,144283
605,103632
606,143658
607,132602
608,76885
609,138038
610,136463
611,145892
612,744361
613,201329
614,2127418
615,136494
616,124362
617,131707
618,118383
619,125803
620,114100
621,148031
622,447052
623,154665
624,128819
625,566215
626,242415
627,199253
628,130434
629,156768
630,1806595
631,126493
632,1534747
633,209428
634,107576
635,97671
636,119827
637,122773
638,109822
639,315140
640,172980
641,110969
642,132894
643,116054
644,126993
645,867119
646,111585
647,1755172
648,435621
649,119094
650,63047
651,2105206
652,1510615
653,1459371
654,806822
655,213249
656,1512087
657,4332973
658,106163
659,165641
660,107254
661,105654
662,109450
663,205678
664,393930
665,20094
666,108315
667,115737
668,405350
669,113865
670,119756
671,120778
672,177792
673,5588050
674,120881
675,114987
676,112304
677,96445
678,97923
679,87059
680,146569
681,121526
682,94891
683,88822
684,6534884
685,103223
686,85886
687,92775
688,356250
689,100234
690,96864
691,115467
692,300865
693,116415
694,170971
695,98842
696,81117
697,81467
698,82945
699,81453
700,86092
701,74552
702,77742
703,95703
704,76591
705,109433
706,93291
707,123949
708,65570
709,90512
710,100165
711,77514
712,147958
713,92105
714,65066
715,81259
716,92005
717,80439
718,75305
719,67564
720,322178
721,81815
722,66903
723,73381
724,63420
725,81839
726,86122
727,64227
728,394124
729,64439
730,65689
731,70864
732,142346
733,101740
734,512866
735,74510
736,79315
737,79908
738,89091
739,78892
740,62543
741,78860
742,79855
743,65807
744,55270
745,84145
746,81476
747,75274
748,50484
749,53529
750,53994
751,64545
752,74473
753,56306
754,72609
755,53207
756,58101
757,81916
758,294077
759,883425
760,56242
761,246762
762,1915781
763,55725
764,78556
765,618366
766,68673
767,70694
768,63856
769,43531
770,111263
771,210944
772,153011
773,66469
774,275970
775,58199
776,59970
777,49536
778,56251
779,44539
780,37772
781,48350
782,49853
783,125030
784,32492
785,106988
786,53377
787,59971
788,59829
789,50108
790,80987
791,44063
792,4193321
793,43101
794,52540
795,43166
796,410476
797,57534
798,110283
799,61639
800,52914
801,31115
802,54844
803,53150
804,37671
805,41789
806,103347
807,53210
808,31596
809,43954
810,44032
811,38446
812,35261
813,35207
814,46247
815,35578
816,117051
817,80892
818,38813
819,47830
820,37567
821,316271
822,33006
823,32068
824,43569
825,45120
826,29670
827,56213
828,38502
829,248448
830,71542
831,40669
832,37852
833,29432
834,23658
835,341217
836,116517
837,2255578
838,110868
839,28328
840,64934
841,35180
842,36676
843,37591
844,24997
845,24938
846,320322
847,1437598
848,47513
849,70972
850,744123
851,26411
852,25153
853,32249
854,125923
855,37109
856,118928
857,85965
858,149169
859,34034
860,66323
861,59956
862,273931
863,34178
864,44191
865,21150
866,24054
867,22759
868,30044
869,55377
870,23208
871,57312
872,20549
873,30249
874,33416
875,30310
876,26187
877,35056
878,20621
879,82205
880,131981
881,218304
882,37343
883,58035
884,74149
885,39762
886,32645
887,20581
888,25097
889,22000
890,48065
891,22337
892,48448
893,22300
894,27258
895,38891
896,24125
897,116261
898,28154
899,26672
900,20417
901,23957
902,29086
903,29743
904,244186
905,53454
906,68484
907,21043
908,17082
909,14793
910,213761
911,34988
912,1459793
913,33978
914,31355
915,36414
916,21743
917,28519
918,11432
919,63260
920,21569
921,28830
922,635688
923,24284
924,27663
925,115699
926,29683
927,22944
928,22211
929,15480
930,44739
931,32150
932,25864
933,33312
934,246126
935,22032
936,80537
937,100722
938,21692
939,26190
940,35279
941,24994
942,86441
943,303923
944,22684
945,237988
946,35069
947,26008
948,8621
949,21771
950,23619
951,20180
952,394033
953,602142
954,161736
955,25208
956,103583
957,53126
958,725363
959,6840114
960,119736
961,37885
962,34410
963,110911
964,22318
965,47828
966,23123
967,6651987
968,23408
969,456289
970,6010
971,29729
972,13385
973,121843
974,37856
975,200425
976,323059
977,6645586
978,6662304
979,6691950
980,304651
981,46912
982,398215
983,904459
984,23591
985,12242
986,30773
987,74113
988,571961
989,3783
990,60362
991,21656
992,41525
993,6842811
994,1492
995,2776783
996,32218
997,20587
998,3584165
999,62579
1000,4836362
1001,5023656
1002,4718987
1003,4302936
1004,4093403
1005,4405831
1006,4472180
1007,4491378
1008,4160734
1009,4170522
1010,24157
1011,2815
1012,3182078
1013,32545
1014,536580
1015,142456
1016,440211
1017,4914589
1018,20694
1019,33955
1020,11915
1021,34873
1022,6954
1023,33803
1024,5965149
1025,20505
1026,5545605
1027,24900
1028,20851
1029,23699
1030,293341
1031,3958796
1032,2439022
1033,20016
1034,133567
1035,3616
1036,49258
1037,22048
1038,100688
1039,37665
1040,104771
1041,2256
1042,23138
1043,34026
1044,98419
1045,1283
1046,37115
1047,20710
1048,79692
1049,2013402
1050,31114
1051,37025
1052,29222
1053,91614
1054,45397
1055,60928
1056,35469
1057,68401
1058,2039352
1059,451031
1060,47814
1061,25788
1062,138597
1063,44139
1064,66681
1065,115113
1066,1822
1067,694643
1068,178724
1069,6201
1070,9996
1071,1215226
1072,55609
1073,32367
1074,73860
1075,24331
1076,84888
1077,561514
1078,6721749
1079,6813827
1080,318443
1081,4784
1082,143546
1083,83456
1084,455416
1085,31005
1086,20171
1087,1284
1088,31173
1089,1928
1090,368105
1091,144094
1092,1622294
1093,706
1094,389853
1095,81797
1096,185482
1097,1320
1098,20128
1099,45665
1100,442
1101,3021
1102,134814
1103,30881
1104,32420
1105,682597
1106,51050
1107,387387
1108,66222
1109,270147
1110,32420
1111,256594
1112,67898
1113,379757
1114,2015
1115,4881149
1116,3777908
1117,2856755
1118,60
1119,36326
1120,127184
1121,22896
1122,154541
1123,23926
1124,966052
1125,318821
1126,187923
1127,1418363
1128,151
1129,1518177
1130,111557
1131,3664822
1132,33535
1133,69029
1134,2459
1135,1128
1136,2723
1137,3184000
1138,31567
1139,153536
1140,105949
1141,322329
1142,3496486
1143,28008
1144,157118
1145,859
1146,38964
1147,36492
1148,155934
1149,101674
1150,26926
1151,210055
1152,199094
1153,2563936
1154,849474
1155,6763000
1156,6764552
1157,6755528
1158,6755118
1159,6754779
1160,6751175
1161,6758735
1162,80371
1163,6758777
1164,6755059
1165,6742801
1166,6761930
1167,6756271
1168,6746668
1169,6878663
1170,6762048
1171,6760217
1172,6760052
1173,6770559
1174,6757528
1175,6756974
1176,6758272
1177,6770651
1178,6758337
1179,6757995
1180,6755161
1181,6764411
1182,6761209
1183,6760512
1184,6747009
1185,6763100
1186,6762810
1187,6756883
1188,6753957
1189,6752260
1190,6766410
1191,6758754
1192,6758736
1193,6758344
1194,6757222
1195,6754036
1196,518992
1197,6762931
1198,1165413
1199,1498992
1200,209344
1201,167557
1202,136464
1203,1935842
1204,2378601
1205,203309
1206,1504502
1207,325975
1208,599584
1209,6560904
1210,200222
1211,133844
1212,1507620
1213,449718
1214,2810601
1215,814178
1216,664465
1217,200306
1218,1679264
1219,174289
1220,1383364
1221,1608594
1222,704069
1223,1448605
1224,400037
1225,1495286
1226,5284045
1227,3683058
1228,1454553
1229,2711681
1230,1386390
1231,3976033
1232,306064
1233,692025
1234,1910521
1235,2235715
1236,2610554
1237,2149519
1238,885637
1239,292274
1240,6687791
1241,6748161
1242,1504964
1243,806056
1244,100138
1245,3210587
1246,1938413
1247,3209581
1248,3210106
1249,3210416
1250,3210956
1251,3211468
1252,6184084
1253,2506431
1254,1207213
1255,1384003
1256,3209280
1257,2383306
1258,5107452
1259,3209846
1260,3210167
1261,3210749
1262,3211021
1263,758831
1264,5443117
1265,6470779
1266,4556488
1267,812365
1268,5425318
1269,5449251
1270,5581582
1271,1012615
1272,752212
1273,4047485
1274,1002154
1275,242574
1276,3209605
1277,3210653
1278,301482
1279,70716
1280,770607
1281,5898368
1282,6140937
1283,439805
1284,4001585
1285,97560
1286,1806909
1287,6917258
1288,3129129
1289,657131
1290,54343
1291,6854139
1292,6847111
1293,6837879
1294,6822269
1295,6811345
1296,6809330
1297,6626240
1298,6619887
1299,6619204
1300,198913
1301,6634979
1302,6615935
1303,6614045
1304,6611289
1305,6811646
1306,6677428
1307,66802
1308,225003
1309,127365
1310,569132
1311,5447768
1312,317054
1313,457306
1314,142804
1315,2317343
1316,64285
1317,2715125
1318,383399
1319,451449
1320,6440588
1321,709239
1322,6393453
